Item Name,Category,Price,Date,IsMonsoon,IsPaydayWindow,IsLocalHoliday,IsDiwaliSeason,IsHoliSeason,IsEidSeason,MRPBand,IsStockout,Quantity,DayOfWeek,Month,Day
Salt,Grocery,49.5,2020-04-19,0,0,0,0,0,1,21–50,0,80.0,6,4,19
Shampoo,Personal Care,18.48,2020-04-20,0,0,0,0,0,1,≤20,0,29.0,0,4,20
Toothpaste,Personal Care,21.53,2020-04-21,0,0,0,0,0,1,21–50,0,31.0,1,4,21
Juice,Beverages,93.41,2020-04-22,0,0,0,0,0,1,81–120,0,24.0,2,4,22
Soap,Personal Care,30.45,2020-04-23,0,0,0,0,0,1,21–50,0,34.0,3,4,23
Milk,Dairy,84.49,2020-04-24,0,0,0,0,0,1,81–120,0,54.0,4,4,24
Rice,Grocery,97.36,2020-04-25,0,0,0,0,0,1,81–120,0,62.0,5,4,25
Salt,Grocery,27.52,2020-04-26,0,0,0,0,0,1,21–50,0,86.0,6,4,26
Milk,Dairy,71.47,2020-04-27,0,0,0,0,0,1,51–80,0,69.0,0,4,27
Milk,Dairy,39.32,2020-04-28,0,1,0,0,0,1,21–50,0,72.0,1,4,28
Soap,Personal Care,21.69,2020-04-29,0,1,0,0,0,1,21–50,0,35.0,2,4,29
Rice,Grocery,70.28,2020-04-30,0,1,0,0,0,1,51–80,0,83.0,3,4,30
Toothpaste,Personal Care,38.11,2020-05-01,0,1,1,0,0,1,21–50,0,36.0,4,5,1
Soap,Personal Care,44.87,2020-05-02,0,1,0,0,0,1,21–50,0,33.0,5,5,2
Biscuits,Snacks,27.99,2020-05-03,0,1,0,0,0,1,21–50,0,61.0,6,5,3
Juice,Beverages,69.84,2020-05-04,0,0,0,0,0,1,51–80,0,24.0,0,5,4
Rice,Grocery,61.19,2020-05-05,0,0,0,0,0,1,51–80,0,72.0,1,5,5
Biscuits,Snacks,70.16,2020-05-06,0,0,0,0,0,1,51–80,0,46.0,2,5,6
Rice,Grocery,67.12,2020-05-07,0,0,0,0,0,1,51–80,0,74.0,3,5,7
Juice,Beverages,37.36,2020-05-08,0,0,0,0,0,1,21–50,0,39.0,4,5,8
Soap,Personal Care,46.77,2020-05-09,0,0,0,0,0,1,21–50,0,21.0,5,5,9
Biscuits,Snacks,15.25,2020-05-10,0,0,0,0,0,1,≤20,0,60.0,6,5,10
Sugar,Grocery,60.13,2020-05-11,0,0,0,0,0,1,51–80,0,74.0,0,5,11
Juice,Beverages,46.57,2020-05-12,0,0,0,0,0,1,21–50,0,40.0,1,5,12
Biscuits,Snacks,18.1,2020-05-13,0,0,0,0,0,1,≤20,0,51.0,2,5,13
Rice,Grocery,24.51,2020-05-14,0,0,0,0,0,1,21–50,0,84.0,3,5,14
Sugar,Grocery,50.15,2020-05-15,0,0,0,0,0,1,51–80,0,76.0,4,5,15
Rice,Grocery,66.73,2020-05-16,0,0,0,0,0,1,51–80,0,63.0,5,5,16
Sugar,Grocery,96.57,2020-05-17,0,0,0,0,0,1,81–120,0,65.0,6,5,17
Bread,Bakery,33.93,2020-05-18,0,0,0,0,0,1,21–50,0,71.0,0,5,18
Sugar,Grocery,50.44,2020-05-19,0,0,0,0,0,1,51–80,0,75.0,1,5,19
Biscuits,Snacks,91.23,2020-05-20,0,0,0,0,0,1,81–120,0,39.0,2,5,20
Shampoo,Personal Care,62.13,2020-05-21,0,0,0,0,0,1,51–80,0,20.0,3,5,21
Bread,Bakery,78.27,2020-05-22,0,0,0,0,0,1,51–80,0,48.0,4,5,22
Salt,Grocery,62.57,2020-05-23,0,0,0,0,0,1,51–80,0,72.0,5,5,23
Sugar,Grocery,47.42,2020-05-24,0,0,0,0,0,1,21–50,0,78.0,6,5,24
Shampoo,Personal Care,23.01,2020-05-25,0,0,0,0,0,1,21–50,0,42.0,0,5,25
Juice,Beverages,25.35,2020-05-26,0,0,0,0,0,0,21–50,0,37.0,1,5,26
Soap,Personal Care,63.18,2020-05-27,0,0,0,0,0,0,51–80,0,19.0,2,5,27
Salt,Grocery,53.41,2020-05-28,0,1,0,0,0,0,51–80,0,73.0,3,5,28
Juice,Beverages,54.16,2020-05-29,0,1,0,0,0,0,51–80,0,40.0,4,5,29
Shampoo,Personal Care,52.61,2020-05-30,0,1,0,0,0,0,51–80,0,29.0,5,5,30
Milk,Dairy,49.5,2020-05-31,0,1,0,0,0,0,21–50,0,61.0,6,5,31
Toothpaste,Personal Care,90.65,2020-06-01,1,1,0,0,0,0,81–120,0,17.0,0,6,1
